City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
113,Bluff,AU,2020-01-06 04:36:43,-23.58,149.07,87.49,46,87,15.17,overcast clouds,0.0,0.0
114,Faanui,PF,2020-01-06 04:37:13,-16.48,-151.75,81.81,77,37,13.49,light rain,0.19,0.0
115,Port Moresby,PG,2020-01-06 04:34:28,-9.47,147.16,91.4,59,40,11.41,scattered clouds,0.0,0.0
116,Tuatapere,NZ,2020-01-06 04:35:56,-46.13,167.69,48.99,89,100,21.99,light rain,1.56,0.0
117,Nemuro,JP,2020-01-06 04:37:53,43.32,145.57,24.8,85,90,14.99,shower snow,0.0,0.0
118,Kruisfontein,ZA,2020-01-06 04:38:23,-34.0,24.73,68.54,79,97,5.88,overcast clouds,0.0,0.0
119,San Quintin,PH,2020-01-06 04:36:57,17.54,120.52,84.04,54,0,5.53,clear sky,0.0,0.0
120,Tuktoyaktuk,CA,2020-01-06 04:36:41,69.44,-133.03,-27.4,74,20,3.8,few clouds,0.0,0.0
121,Mahebourg,MU,2020-01-06 04:35:47,-20.41,57.7,75.99,100,75,11.41,light intensity shower rain,0.0,0.0
122,Djibo,BF,2020-01-06 04:45:01,14.1,-1.63,57.15,27,20,9.15,few clouds,0.0,0.0
123,Qaqortoq,GL,2020-01-06 04:37:35,60.72,-46.03,21.2,73,51,13.87,light snow,0.0,0.0
124,Tapes,BR,2020-01-06 04:45:02,-30.67,-51.4,65.98,97,0,1.12,clear sky,0.0,0.0
125,Airai,TL,2020-01-06 04:37:53,-8.93,125.41,80.74,54,100,4.61,overcast clouds,0.0,0.0
126,Orlik,PL,2020-01-06 04:45:03,53.95,17.74,35.6,93,90,10.29,overcast clouds,0.0,0.0
127,Longyearbyen,NO,2020-01-06 04:37:29,78.22,15.63,1.4,59,20,17.22,few clouds,0.0,0.0
128,Aykhal,RU,2020-01-06 04:36:38,65.95,111.51,-0.4,84,90,6.71,light snow,0.0,0.0
129,Kerema,PG,2020-01-06 04:45:04,-7.96,145.78,86.0,67,13,9.89,few clouds,0.0,0.0
130,Mayo,CA,2020-01-06 04:33:32,63.59,-135.9,-31.0,73,5,3.36,clear sky,0.0,0.0
131,Constitucion,MX,2020-01-06 04:37:35,23.99,-104.67,49.5,27,92,0.94,overcast clouds,0.0,0.0
132,De-Kastri,RU,2020-01-06 04:45:04,51.48,140.77,13.21,85,77,16.69,broken clouds,0.0,0.0
