City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Yumen,CN,2020-01-05 22:35:35,40.29,97.04,17.64,63,90,8.63
270,Toktogul,KG,2020-01-05 22:35:35,41.87,72.95,11.55,39,100,2.55
271,Koraput,IN,2020-01-05 22:35:35,18.81,82.72,58.41,82,0,4.43
272,Caconda,AO,2020-01-05 22:35:36,-13.73,15.06,58.68,98,59,2.33
273,Saldanha,PT,2020-01-05 22:35:36,41.42,-6.55,36.1,79,3,0.63
274,Novikovo,RU,2020-01-05 22:35:36,51.15,37.89,27.72,91,100,6.98
275,Mar Del Plata,AR,2020-01-05 22:31:23,-46.43,-67.52,67.12,33,84,10.22
276,Provideniya,RU,2020-01-05 22:35:37,64.42,-173.23,-9.87,80,100,9.13
277,Muttupet,IN,2020-01-05 22:35:37,10.4,79.48,73.24,93,34,4.76
278,Izoplit,RU,2020-01-05 22:35:37,56.63,36.21,26.98,91,80,5.61
279,Dargaville,NZ,2020-01-05 22:35:37,-35.94,173.86,66.36,58,36,14.29
280,Zhigansk,RU,2020-01-05 22:35:37,66.77,123.37,-9.53,94,100,16.67
281,Deputatskiy,RU,2020-01-05 22:35:38,69.3,139.9,-15.56,78,64,0.67
282,Norcasia,CO,2020-01-05 22:35:38,5.58,-74.89,65.3,96,88,3.53
283,Chongwe,ZM,2020-01-05 22:35:38,-15.33,28.68,68.0,88,84,4.7
284,Berlevag,NO,2020-01-05 22:35:38,70.86,29.09,24.8,79,75,13.87
285,Fereydunshahr,IR,2020-01-05 22:35:39,32.94,50.12,9.0,96,37,4.92
286,Kudahuvadhoo,MV,2020-01-05 22:35:39,2.67,72.89,82.31,79,58,13.89
287,Cabedelo,BR,2020-01-05 22:35:39,-6.97,-34.84,80.6,78,20,8.05
288,Elbrus,RU,2020-01-05 22:35:39,43.26,42.65,16.14,44,59,4.09
289,Tiarei,PF,2020-01-05 22:35:40,-17.53,-149.33,86.0,70,40,5.82
290,Komsomolskiy,RU,2020-01-05 22:32:17,67.55,63.78,9.14,94,93,17.02
291,Te Anau,NZ,2020-01-05 22:33:32,-45.41,167.72,44.19,75,66,15.64
292,Fernandina Beach,US,2020-01-05 22:34:14,30.67,-81.46,60.8,41,1,9.17
293,Kieta,PG,2020-01-05 22:35:40,-6.22,155.63,84.58,67,6,3.42
294,Bireun,ID,2020-01-05 22:35:41,5.2,96.7,65.43,95,56,1.03
295,Katobu,ID,2020-01-05 22:35:41,-4.94,122.53,80.08,86,100,5.7
296,Tula,RU,2020-01-05 22:35:41,54.19,37.62,25.23,85,29,5.08
297,Binghamton,US,2020-01-05 22:34:11,42.1,-75.91,32.0,73,90,5.82
298,Nizhneangarsk,RU,2020-01-05 22:35:42,55.78,109.57,-4.16,83,15,2.86
299,Guangyuan,CN,2020-01-05 22:35:42,32.43,105.86,46.99,86,94,1.01
300,Fort Nelson,CA,2020-01-05 22:35:42,58.81,-122.69,-9.4,76,75,12.75
301,Russell,US,2020-01-05 22:34:13,38.9,-98.86,48.2,31,1,10.29
302,Sisimiut,GL,2020-01-05 22:31:04,66.94,-53.67,-1.7,96,100,20.36
303,Santa Maria,BR,2020-01-05 22:35:43,-16.02,-48.01,69.8,94,75,2.24
304,Gdov,RU,2020-01-05 22:35:43,58.74,27.82,28.63,67,100,8.59
305,Moyale,ET,2020-01-05 22:35:43,3.52,39.05,73.38,53,54,2.75
306,Synya,RU,2020-01-05 22:35:43,65.37,58.04,11.25,93,39,8.55
