City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Longyearbyen,NO,1.4,few clouds,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
128,Aykhal,RU,-0.4,light snow,65.95,111.51,Hotel Astoria
129,Kerema,PG,86.0,few clouds,-7.96,145.78,Elore Lodge
130,Mayo,CA,-31.0,clear sky,63.59,-135.9,Gold and Galena Bed and Breakfast
131,Constitucion,MX,49.5,overcast clouds,23.99,-104.67,Hotel Posada San Agustin
132,De-Kastri,RU,13.21,broken clouds,51.48,140.77,Somon Hotel
133,Manyana,AU,72.0,overcast clouds,-35.26,150.51,Ingenia Holidays Lake Conjola
134,Ziway,ET,65.41,clear sky,7.93,38.72,Bethlehem Hotel
135,Los Llanos De Aridane,ES,62.6,clear sky,28.66,-17.92,Valle Aridane
136,Slave Lake,CA,30.2,few clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
137,Vaini,IN,71.6,mist,15.34,74.49,Dandeli Lake County
139,Tessalit,ML,50.79,few clouds,20.2,1.01,
140,Dakar,SN,69.8,dust,14.69,-17.45,Hotel Novotel Dakar
141,Mercedes,UY,70.0,clear sky,-33.25,-58.03,Gran Hotel Brisas del Hum
142,Saskylakh,RU,-15.48,overcast clouds,71.97,114.09,Saskylakh Aeroport
143,Comarapa,BO,59.23,broken clouds,-17.91,-64.53,Hotel COCHABAMBA
145,Ouadda,CF,67.01,few clouds,8.07,22.4,
146,Urusha,RU,-3.6,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
147,Lakatoro,VU,82.24,scattered clouds,-16.11,167.42,Lakatoro Palm Lodge
148,Turhal,TR,28.4,broken clouds,40.38,36.08,Hotel Grand Efe
149,Chuy,UY,70.2,clear sky,-33.69,-53.46,Nuevo Hotel Plaza
150,Birsk,RU,14.74,broken clouds,55.42,55.54,Бирск коттедж
151,Manzhouli,CN,14.54,overcast clouds,49.6,117.43,Angala International Youth Hostel
153,Floro,NO,48.99,light rain,61.6,5.03,Kinn Hotell Florø
154,Bandar-E Lengeh,IR,60.8,scattered clouds,26.56,54.88,Golestan Motel
155,Saldanha,PT,33.64,clear sky,41.42,-6.55,
156,Horki,BY,28.4,overcast clouds,54.29,30.98,Gudov. Obshchezhitiye 11
157,Albany,US,27.0,few clouds,42.65,-73.75,Hilton Albany
158,Plettenberg Bay,ZA,66.63,overcast clouds,-34.05,23.37,Thanda Vista B&B
159,Port Hardy,CA,33.8,broken clouds,50.7,-127.42,Airport Inn
161,Portmore,JM,78.8,few clouds,17.97,-76.87,Grand Port Royal Hotel Marina & Spa
162,Flores Costa Cuca,GT,73.4,scattered clouds,14.66,-91.83,Eco Hotel Centro Recreativo El Chipe
163,Noumea,NC,84.2,few clouds,-22.28,166.46,Hôtel Le Lagon
164,Talnakh,RU,19.4,shower snow,69.49,88.39,Talnakh Hotel
165,Rio Gallegos,AR,42.8,few clouds,-51.62,-69.22,Hotel Santa Cruz
166,Yar-Sale,RU,9.48,clear sky,66.83,70.83,Yalemd
167,Pevek,RU,-7.19,clear sky,69.7,170.27,Munitsipal'naya Gostinitsa
169,Deputatskiy,RU,-17.03,broken clouds,69.3,139.9,Baza Otdykha
170,Wukari,NG,64.72,broken clouds,7.87,9.78,Elimtop
171,Sumbe,AO,77.02,broken clouds,-11.2,13.84,Hotel Ritz Sumbe
172,Thompson,CA,5.0,light snow,55.74,-97.86,Burntwood Hotel
173,Portland,US,24.01,clear sky,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
174,Moree,AU,98.6,clear sky,-29.46,149.84,Molika Springs Motel
175,Maun,BW,69.8,overcast clouds,-19.99,23.42,Enviro Villa
